letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
A,alpha1,alpha2,pro,cw,s,w,pro,cw,n,e
A,alpha3,alpha4,pro,cw,n,e,pro,cw,s,w
A,alpha2,alpha3,pro,cw,w,n,pro,cw,e,s
A,alpha4,alpha1,pro,cw,e,s,pro,cw,w,n
A,alpha2,alpha1,pro,ccw,w,s,pro,ccw,e,n
A,alpha4,alpha3,pro,ccw,e,n,pro,ccw,w,s
A,alpha1,alpha4,pro,ccw,s,e,pro,ccw,n,w
A,alpha3,alpha2,pro,ccw,n,w,pro,ccw,s,e
B,alpha1,alpha2,anti,ccw,s,w,anti,ccw,n,e
B,alpha3,alpha4,anti,ccw,n,e,anti,ccw,s,w
B,alpha2,alpha3,anti,ccw,w,n,anti,ccw,e,s
B,alpha4,alpha1,anti,ccw,e,s,anti,ccw,w,n
B,alpha2,alpha1,anti,cw,w,s,anti,cw,e,n
B,alpha4,alpha3,anti,cw,e,n,anti,cw,w,s
B,alpha1,alpha4,anti,cw,s,e,anti,cw,n,w
B,alpha3,alpha2,anti,cw,n,w,anti,cw,s,e
C,alpha1,alpha2,anti,ccw,s,w,pro,cw,n,e
C,alpha3,alpha4,anti,ccw,n,e,pro,cw,s,w
C,alpha2,alpha3,anti,ccw,w,n,pro,cw,e,s
C,alpha4,alpha1,anti,ccw,e,s,pro,cw,w,n
C,alpha2,alpha1,anti,cw,w,s,pro,ccw,e,n
C,alpha4,alpha3,anti,cw,e,n,pro,ccw,w,s
C,alpha1,alpha4,anti,cw,s,e,pro,ccw,n,w
C,alpha3,alpha2,anti,cw,n,w,pro,ccw,s,e
C,alpha1,alpha2,pro,cw,s,w,anti,ccw,n,e
C,alpha3,alpha4,pro,cw,n,e,anti,ccw,s,w
C,alpha2,alpha3,pro,cw,w,n,anti,ccw,e,s
C,alpha4,alpha1,pro,cw,e,s,anti,ccw,w,n
C,alpha2,alpha1,pro,ccw,w,s,anti,cw,e,n
C,alpha4,alpha3,pro,ccw,e,n,anti,cw,w,s
C,alpha1,alpha4,pro,ccw,s,e,anti,cw,n,w
C,alpha3,alpha2,pro,ccw,n,w,anti,cw,s,e
D,beta1,alpha2,pro,ccw,n,w,pro,cw,n,e
D,beta3,alpha4,pro,ccw,s,e,pro,cw,s,w
D,beta2,alpha3,pro,ccw,e,n,pro,cw,e,s
D,beta4,alpha1,pro,ccw,w,s,pro,cw,w,n
D,beta2,alpha1,pro,cw,e,s,pro,ccw,e,n
D,beta4,alpha3,pro,cw,w,n,pro,ccw,w,s
D,beta1,alpha4,pro,cw,n,e,pro,ccw,n,w
D,beta3,alpha2,pro,cw,s,w,pro,ccw,s,e
E,beta1,alpha2,anti,cw,n,w,anti,ccw,n,e
E,beta3,alpha4,anti,cw,s,e,anti,ccw,s,w
E,beta2,alpha3,anti,cw,e,n,anti,ccw,e,s
E,beta4,alpha1,anti,cw,w,s,anti,ccw,w,n
E,beta2,alpha1,anti,ccw,e,s,anti,cw,e,n
E,beta4,alpha3,anti,ccw,w,n,anti,cw,w,s
E,beta1,alpha4,anti,ccw,n,e,anti,cw,n,w
E,beta3,alpha2,anti,ccw,s,w,anti,cw,s,e
F,beta1,alpha2,anti,cw,n,w,pro,cw,n,e
F,beta3,alpha4,anti,cw,s,e,pro,cw,s,w
F,beta2,alpha3,anti,cw,e,n,pro,cw,e,s
F,beta4,alpha1,anti,cw,w,s,pro,cw,w,n
F,beta2,alpha1,anti,ccw,e,s,pro,ccw,e,n
F,beta4,alpha3,anti,ccw,w,n,pro,ccw,w,s
F,beta1,alpha4,anti,ccw,n,e,pro,ccw,n,w
F,beta3,alpha2,anti,ccw,s,w,pro,ccw,s,e
F,beta1,alpha2,pro,ccw,n,w,anti,ccw,n,e
F,beta3,alpha4,pro,ccw,s,e,anti,ccw,s,w
F,beta2,alpha3,pro,ccw,e,n,anti,ccw,e,s
F,beta4,alpha1,pro,ccw,w,s,anti,ccw,w,n
F,beta2,alpha1,pro,cw,e,s,anti,cw,e,n
F,beta4,alpha3,pro,cw,w,n,anti,cw,w,s
F,beta1,alpha4,pro,cw,n,e,anti,cw,n,w
F,beta3,alpha2,pro,cw,s,w,anti,cw,s,e
G,beta1,beta2,pro,cw,n,e,pro,cw,n,e
G,beta3,beta4,pro,cw,s,w,pro,cw,s,w
G,beta2,beta3,pro,cw,e,s,pro,cw,e,s
G,beta4,beta1,pro,cw,w,n,pro,cw,w,n
G,beta2,beta1,pro,ccw,e,n,pro,ccw,e,n
G,beta4,beta3,pro,ccw,w,s,pro,ccw,w,s
G,beta1,beta4,pro,ccw,n,w,pro,ccw,n,w
G,beta3,beta2,pro,ccw,s,e,pro,ccw,s,e
H,beta1,beta2,anti,ccw,n,e,anti,ccw,n,e
H,beta3,beta4,anti,ccw,s,w,anti,ccw,s,w
H,beta2,beta3,anti,ccw,e,s,anti,ccw,e,s
H,beta4,beta1,anti,ccw,w,n,anti,ccw,w,n
H,beta2,beta1,anti,cw,e,n,anti,cw,e,n
H,beta4,beta3,anti,cw,w,s,anti,cw,w,s
H,beta1,beta4,anti,cw,n,w,anti,cw,n,w
H,beta3,beta2,anti,cw,s,e,anti,cw,s,e
I,beta1,beta2,anti,ccw,n,e,pro,cw,n,e
I,beta3,beta4,anti,ccw,s,w,pro,cw,s,w
I,beta2,beta3,anti,ccw,e,s,pro,cw,e,s
I,beta4,beta1,anti,ccw,w,n,pro,cw,w,n
I,beta2,beta1,anti,cw,e,n,pro,ccw,e,n
I,beta4,beta3,anti,cw,w,s,pro,ccw,w,s
I,beta1,beta4,anti,cw,n,w,pro,ccw,n,w
I,beta3,beta2,anti,cw,s,e,pro,ccw,s,e
I,beta1,beta2,pro,cw,n,e,anti,ccw,n,e
I,beta3,beta4,pro,cw,s,w,anti,ccw,s,w
I,beta2,beta3,pro,cw,e,s,anti,ccw,e,s
I,beta4,beta1,pro,cw,w,n,anti,ccw,w,n
I,beta2,beta1,pro,ccw,e,n,anti,cw,e,n
I,beta4,beta3,pro,ccw,w,s,anti,cw,w,s
I,beta1,beta4,pro,ccw,n,w,anti,cw,n,w
I,beta3,beta2,pro,ccw,s,e,anti,cw,s,e
J,alpha1,beta2,pro,ccw,s,e,pro,cw,n,e
J,alpha3,beta4,pro,ccw,n,w,pro,cw,s,w
J,alpha2,beta3,pro,ccw,w,s,pro,cw,e,s
J,alpha4,beta1,pro,ccw,e,n,pro,cw,w,n
J,alpha2,beta1,pro,cw,w,n,pro,ccw,e,n
J,alpha4,beta3,pro,cw,e,s,pro,ccw,w,s
J,alpha1,beta4,pro,cw,s,w,pro,ccw,n,w
J,alpha3,beta2,pro,cw,n,e,pro,ccw,s,e
K,alpha1,beta2,anti,cw,s,e,anti,ccw,n,e
K,alpha3,beta4,anti,cw,n,w,anti,ccw,s,w
K,alpha2,beta3,anti,cw,w,s,anti,ccw,e,s
